School,Player,Year,Hometown,UTR,Profile_URL,UTR_URL,Overall_Record,Conference_Record
Michigan Wolverines,Arnav Bhandari,,"San Ramon, Calif.",12.13,https://mgoblue.com/sports/mens-tennis/roster/arnav-bhandari/27303,https://app.utrsports.net/profiles/3104668,0-0,0-0
Michigan Wolverines,Alex Cairo,,"Dallas, Texas",12.0,https://mgoblue.com/sports/mens-tennis/roster/alex-cairo/27297,https://app.utrsports.net/profiles/4998636,0-1,0-1
Michigan Wolverines,Max Dahlin,,"Karlstad, Sweden",13.94,https://mgoblue.com/sports/mens-tennis/roster/max-dahlin/27298,https://app.utrsports.net/profiles/5619888,1-0,1-0
Michigan Wolverines,Mert Oral,,"Ann Arbor, Mich.",12.73,https://mgoblue.com/sports/mens-tennis/roster/mert-oral/27300,https://app.utrsports.net/profiles/4888907,0-1,0-1
Michigan Wolverines,Joseph Oyebog Jr.,,Skip Ad,Unrated,https://mgoblue.com/sports/mens-tennis/roster/joseph-oyebog-jr/27304,https://app.utrsports.net/profiles/4660035,0-0,0-0
Michigan Wolverines,Pierce Shaya,,"Bloomfield Hills, Mich.",12.0,https://mgoblue.com/sports/mens-tennis/roster/pierce-shaya/27305,https://app.utrsports.net/profiles/3205675,0-1,0-1
Michigan Wolverines,Nicholas Steiglehner,,"New York, N.Y.",Unrated,https://mgoblue.com/sports/mens-tennis/roster/nicholas-steiglehner/27301,https://app.utrsports.net/profiles/5441462,1-0,1-0
Michigan Wolverines,Bjorn Swenson,,"North Oaks, Minn.",13.14,https://mgoblue.com/sports/mens-tennis/roster/bjorn-swenson/27302,https://app.utrsports.net/profiles/112464,1-0,1-0
