School,Player,Year,Hometown,UTR,Profile_URL,UTR_URL,Overall_Record,Conference_Record
Wisconsin Badgers,Edouard Aubert,,"Geneva, Switzerland",12.0,https://uwbadgers.com/sports/mens-tennis/roster/edouard-aubert/14677,https://app.utrsports.net/profiles/1083911,0-1,0-1
Wisconsin Badgers,Collin Beduhn,,"Wayzata, Minn.",11.0,https://uwbadgers.com/sports/mens-tennis/roster/collin-beduhn/14678,https://app.utrsports.net/profiles/3073832,0-0,0-0
Wisconsin Badgers,Matthew Fullerton,,"Edina, Minn.",Unrated,https://uwbadgers.com/sports/mens-tennis/roster/matthew-fullerton/14679,https://app.utrsports.net/profiles/5149538,0-1,0-1
Wisconsin Badgers,Ferdinand Kloesters,,"Grünwald, Germany",12.0,https://uwbadgers.com/sports/mens-tennis/roster/ferdinand-kloesters/14680,https://app.utrsports.net/profiles/290224,0-1,0-1
Wisconsin Badgers,Sachiv Kumar,,"Novi, Michigan",12.0,https://uwbadgers.com/sports/mens-tennis/roster/sachiv-kumar/14681,https://app.utrsports.net/profiles/363150,0-0,0-0
Wisconsin Badgers,Patrik Meszaros,,"Budapest, Hungary",13.4,https://uwbadgers.com/sports/mens-tennis/roster/patrik-meszaros/14682,https://app.utrsports.net/profiles/4803674,0-1,0-1
Wisconsin Badgers,Michael Minasyan,,"Stockholm, Sweden",13.13,https://uwbadgers.com/sports/mens-tennis/roster/michael-minasyan/14683,https://app.utrsports.net/profiles/263819,0-1,0-1
Wisconsin Badgers,Oliver Olsson,,"Berlin, Germany",12.0,https://uwbadgers.com/sports/mens-tennis/roster/oliver-olsson/14684,https://app.utrsports.net/profiles/4707790,0-0,0-0
Wisconsin Badgers,Tomas Zlatohlavek,,"Prague, Czech Republic",12.0,https://uwbadgers.com/sports/mens-tennis/roster/tomas-zlatohlavek/14685,https://app.utrsports.net/profiles/3306503,0-0,0-0
