School,Player,Year,Hometown,UTR,Profile_URL,UTR_URL,Overall_Record,Conference_Record
Michigan State Spartans,Taym Alazmeh,Jr,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",13.02,https://msuspartans.com/sports/mens-tennis/roster/taym-alazmeh/16356,https://app.utrsports.net/profiles/5813921,0-0,0-0
Michigan State Spartans,Ozan Baris,,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",13.63,https://msuspartans.com/sports/mens-tennis/roster/ozan-baris/16357,https://app.utrsports.net/profiles/119645,2-0,2-0
Michigan State Spartans,Matthew Forbes,So,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",13.6,https://msuspartans.com/sports/mens-tennis/roster/matthew-forbes/16358,https://app.utrsports.net/profiles/214435,1-1,1-1
Michigan State Spartans,Vuk Radjenovic,So,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",12.85,https://msuspartans.com/sports/mens-tennis/roster/vuk-radjenovic/16359,https://app.utrsports.net/profiles/3309846,0-0,0-0
Michigan State Spartans,Danial Rakhmatullayev,,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",Unrated,https://msuspartans.com/sports/mens-tennis/roster/danial-rakhmatullayev/16360,https://app.utrsports.net/profiles/4659150,1-1,1-1
Michigan State Spartans,David Saye,,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",12.0,https://msuspartans.com/sports/mens-tennis/roster/david-saye/16361,https://app.utrsports.net/profiles/1231341,0-0,0-0
Michigan State Spartans,Mitchell Sheldon,So,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",12.99,https://msuspartans.com/sports/mens-tennis/roster/mitchell-sheldon/16362,https://app.utrsports.net/profiles/680641,1-0,1-0
Michigan State Spartans,Aristotelis Thanos,,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",13.92,https://msuspartans.com/sports/mens-tennis/roster/aristotelis-thanos/16363,https://app.utrsports.net/profiles/2712240,2-0,2-0
Michigan State Spartans,Nolan W.,,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",12.93,https://msuspartans.com/sports/mens-tennis/roster/nolan-w/16869,https://app.utrsports.net/profiles/274901,0-0,0-0
