section,total_shots,cross_court_pct,down_the_line_pct,mean_hit_x,mean_hit_y,threshold_x
All IO-FH,92,0.0%,0.0%,50.6,451.34,67.91
Backhand Side,53,0.0%,0.0%,60.28,451.23,67.91
