section,total_shots,shots_made_pct,point_win_rate,offensive_deep_pct,defensive_short_pct,good_miss_count,bad_miss_count,cross_court_pct,down_the_line_pct,mean_hit_x,mean_hit_y,threshold_x
All IO-FH,12,100.0%,0.0%,83.3%,16.7%,0,0,100.0%,0.0%,0.69,15.86,-1.28
Backhand Corner,4,100.0%,0.0%,100.0%,0.0%,0,0,100.0%,0.0%,-1.23,-2.46,-1.28
