Point,Game,Set,Shot,__source_file__,hit_x,hit_y,bounce_x,bounce_y,bounce_side,ball_direction,opp_hit_x,opp_hit_y
116,20,2,13,SpencerJohnson_USD_1_19_25.xlsx,-2.423828,25.708788,-1.542974,8.052846,Backhand Side,Down the Line,,
117,20,2,2,SpencerJohnson_USD_1_19_25.xlsx,-2.519531,24.333788,0.477539,5.949219,Forehand Side,Cross Court,,
119,20,2,8,SpencerJohnson_USD_1_19_25.xlsx,-0.833008,25.771288,-1.849595,1.301667,Backhand Side,Down the Line,,
119,20,2,14,SpencerJohnson_USD_1_19_25.xlsx,-0.176514,24.240038,-0.268301,3.705812,Backhand Side,Down the Line,,
119,20,2,20,SpencerJohnson_USD_1_19_25.xlsx,-0.210693,23.411913,-2.291161,3.6147,Backhand Side,Down the Line,,
119,20,2,30,SpencerJohnson_USD_1_19_25.xlsx,-0.353271,24.458788,-2.581652,5.335706,Backhand Side,Down the Line,,
132,23,2,5,SpencerJohnson_USD_1_19_25.xlsx,-0.273682,23.177538,-4.092315,-0.000808,Backhand Side,Down the Line,,
134,23,2,2,SpencerJohnson_USD_1_19_25.xlsx,-0.789062,24.490038,-0.789062,16.945641,Backhand Side,Down the Line,,
135,23,2,3,SpencerJohnson_USD_1_19_25.xlsx,-0.44458,23.771288,-3.585772,5.190846,Backhand Side,Down the Line,,
135,23,2,7,SpencerJohnson_USD_1_19_25.xlsx,-0.234131,24.583788,-2.574813,2.924373,Backhand Side,Down the Line,,
135,23,2,11,SpencerJohnson_USD_1_19_25.xlsx,-0.724121,23.552538,-2.076797,5.425835,Backhand Side,Down the Line,,
