section,total_shots,shots_made_pct,point_win_rate,offensive_deep_pct,defensive_short_pct,good_miss_count,bad_miss_count,cross_court_pct,down_the_line_pct,mean_hit_x,mean_hit_y,threshold_x
All IO-FH,46,89.1%,0.0%,61.0%,39.0%,0,5,91.3%,8.7%,0.11,12.72,-1.67
Backhand Corner,22,95.5%,0.0%,76.2%,23.8%,0,1,95.5%,4.5%,-1.65,-0.96,-1.67
