section,total_shots,cross_court_pct,down_the_line_pct,mean_hit_x,mean_hit_y,threshold_x
All IO-FH,215,48.8%,51.2%,-0.31,13.3,-0.46
Backhand Side,138,37.0%,63.0%,-0.25,13.95,-0.46
