section,total_shots,cross_court_pct,down_the_line_pct,mean_hit_x,mean_hit_y,threshold_x
All IO-FH,93,0.0%,0.0%,20.36,443.09,35.09
Backhand Side,57,0.0%,0.0%,24.16,445.68,35.09
