section,total_shots,cross_court_pct,down_the_line_pct,mean_hit_x,mean_hit_y,threshold_x
All IO-FH,237,0.0%,0.0%,29.16,454.63,37.05
Backhand Side,137,0.0%,0.0%,27.14,456.5,37.05
