date,singles_number,order_finished,clincher,player1_school,player2_school,player1_name,player2_name,score,match_winner,home_team_record,away_team_record
2025-05-16,1,2,False,UCLA,Texas,Rudy Quan,Timo Legout,"5-7, 2-6",Timo Legout,29-4,19-9
2025-05-16,2,1,False,UCLA,Texas,Emon van Loben Sels,Sebastian Gorzny,"6-3, 7-6(2)",Emon van Loben Sels,29-4,19-9
2025-05-16,3,4,True,UCLA,Texas,Kaylan Bigun,Pierre-Yves Bailly,"4-6, 4-6",Pierre-Yves Bailly,29-4,19-9
2025-05-16,4,3,False,UCLA,Texas,Spencer Johnson,Sebastian Eriksson,"4-6, 4-6",Sebastian Eriksson,29-4,19-9
2025-05-16,5,0,False,UCLA,Texas,Aadarsh Tripathi,Jonah Braswell,"6-7(7), 1-2",Unfinished,29-4,19-9
2025-05-16,6,0,False,UCLA,Texas,Giacomo Revelli,Lucas Brown,"2-6, 7-5",Unfinished,29-4,19-9
2025-05-09,1,0,False,USC,UCLA,Peter Makk,Rudy Quan,"6-7(4), 6-3, 3-3",Unfinished,19-8,16-11
2025-05-09,2,3,False,USC,UCLA,Nathan Trouve,Emon van Loben Sels,"4-6, 7-5, 3-6",Emon van Loben Sels,19-8,16-11
2025-05-09,3,2,False,USC,UCLA,Oscar Weightman,Kaylan Bigun,"2-6, 6-3, 2-6",Kaylan Bigun,19-8,16-11
2025-05-09,4,1,False,USC,UCLA,Karl Lee,Alexander Hoogmartens,"6-4, 3-6, 3-6",Alexander Hoogmartens,19-8,16-11
2025-05-09,5,5,True,USC,UCLA,Volodymyr Iakubenko,Spencer Johnson,"7-6(6), 4-6, 4-6",Spencer Johnson,19-8,16-11
2025-05-09,6,4,False,USC,UCLA,Connor Church,Aadarsh Tripathi,"7-5, 6-7(5), 6-4",Connor Church,19-8,16-11
2025-05-03,1,4,False,UCLA,California,Rudy Quan,Carl Emil Overbeck,"7-5, 5-7, 3-6",Carl Emil Overbeck,19-5,18-8
2025-05-03,2,0,False,UCLA,California,Emon van Loben Sels,Alex Chang,"3-6, 7-5, 5-5",Unfinished,19-5,18-8
2025-05-03,3,3,False,UCLA,California,Kaylan Bigun,Theo Dean,"4-6, 6-3, 7-6(4)",Kaylan Bigun,19-5,18-8
2025-05-03,4,5,True,UCLA,California,Alexander Hoogmartens,Timofey Stepanov,"7-6(7), 1-6, 6-3",Alexander Hoogmartens,19-5,18-8
2025-05-03,5,1,False,UCLA,California,Spencer Johnson,Derrick Chen,"6-2, 6-3",Spencer Johnson,19-5,18-8
2025-05-03,6,2,False,UCLA,California,Giacomo Revelli,Bernardo Munk Mesa,"6-4, 7-6(5)",Giacomo Revelli,19-5,18-8
2025-05-02,1,0,False,UC Santa Barbara,UCLA,Gianluca Brunkow,Rudy Quan,"7-5, 2-6, 1-0",Unfinished,17-8,18-5
2025-05-02,2,0,False,UC Santa Barbara,UCLA,Dominique Rolland,Emon van Loben Sels,"6-4, 4-4",Unfinished,17-8,18-5
2025-05-02,3,1,False,UC Santa Barbara,UCLA,Lucca Liu,Kaylan Bigun,"3-6, 2-6",Kaylan Bigun,17-8,18-5
2025-05-02,4,0,False,UC Santa Barbara,UCLA,Diogo Morais,Alexander Hoogmartens,"6-4, 3-6, 2-1",Unfinished,17-8,18-5
2025-05-02,5,2,False,UC Santa Barbara,UCLA,Charlie Underwood,Spencer Johnson,"6-7(3), 2-6",Spencer Johnson,17-8,18-5
2025-05-02,6,3,True,UC Santa Barbara,UCLA,Matei Gavrea,Giacomo Revelli,"3-6, 5-7",Giacomo Revelli,17-8,18-5
2025-04-27,1,2,False,UCLA,Ohio State,Rudy Quan,Aidan Kim,"6-7(3), 2-6",Aidan Kim,26-3,16-8
2025-04-27,2,6,True,UCLA,Ohio State,Emon van Loben Sels,Alexander Bernard,"7-6(5), 5-7, 6-3",Emon van Loben Sels,26-3,16-8
2025-04-27,3,3,False,UCLA,Ohio State,Kaylan Bigun,Will Jansen,"6-2, 7-5",Kaylan Bigun,26-3,16-8
2025-04-27,4,5,False,UCLA,Ohio State,Alexander Hoogmartens,Jack Anthrop,"7-5, 0-6, 6-4",Alexander Hoogmartens,26-3,16-8
2025-04-27,5,1,False,UCLA,Ohio State,Spencer Johnson,Bryce Nakashima,"2-6, 4-6",Bryce Nakashima,26-3,16-8
2025-04-27,6,4,False,UCLA,Ohio State,Aadarsh Tripathi,Preston Stearns,"3-6, 6-2, 2-6",Preston Stearns,26-3,16-8
2025-04-26,1,0,False,Michigan State,UCLA,Aritotelis Thanos,Rudy Quan,"6-4, 1-3",Unfinished,15-8,16-9
2025-04-26,2,0,False,Michigan State,UCLA,Ozan Baris,Emon van Loben Sels,"5-7, 2-3",Unfinished,15-8,16-9
2025-04-26,3,2,False,Michigan State,UCLA,Max Sheldon,Kaylan Bigun,"4-6, 1-6",Kaylan Bigun,15-8,16-9
2025-04-26,4,0,False,Michigan State,UCLA,Matthew Forbes,Alexander Hoogmartens,"6-3, 0-5",Unfinished,15-8,16-9
2025-04-26,5,1,False,Michigan State,UCLA,Mitchell Sheldon,Spencer Johnson,"2-6, 3-6",Spencer Johnson,15-8,16-9
2025-04-26,6,3,True,Michigan State,UCLA,Vuk Radjenovic,Giacomo Revelli,"3-6, 4-6",Giacomo Revelli,15-8,16-9
2025-04-25,1,0,False,Michigan,UCLA,Will Cooksey,Rudy Quan,"3-6, 6-5",Unfinished,14-8,15-12
2025-04-25,2,3,False,Michigan,UCLA,Bjorn Swenson,Emon van Loben Sels,"6-4, 6-4",Bjorn Swenson,14-8,15-12
2025-04-25,3,2,False,Michigan,UCLA,Patorn Hanchaikul,Kaylan Bigun,"3-6, 1-6",Kaylan Bigun,14-8,15-12
2025-04-25,4,0,False,Michigan,UCLA,Nicholas Steiglehner,Alexander Hoogmartens,"6-2, 3-6, 2-2",Unfinished,14-8,15-12
2025-04-25,5,1,False,Michigan,UCLA,Alex Cairo,Spencer Johnson,"1-6, 1-6",Spencer Johnson,14-8,15-12
2025-04-25,6,4,True,Michigan,UCLA,Mert Oral,Giacomo Revelli,"4-6, 3-6",Giacomo Revelli,14-8,15-12
2025-04-20,1,0,False,UCLA,Nebraska,Rudy Quan,Calvin Mueller,"3-6, 6-3, 6-1",Rudy Quan,15-8,13-8
2025-04-20,2,3,False,UCLA,Nebraska,Emon van Loben Sels,Anton Shepp,"6-3, 3-6, 4-6",Anton Shepp,15-8,13-8
2025-04-20,3,4,True,UCLA,Nebraska,Kaylan Bigun,Nikolay Sysoev,"6-7(5), 6-1, 7-6(6)",Kaylan Bigun,15-8,13-8
2025-04-20,4,1,False,UCLA,Nebraska,Alexander Hoogmartens,Lars Johann,"6-4, 6-4",Alexander Hoogmartens,15-8,13-8
2025-04-20,5,0,False,UCLA,Nebraska,Spencer Johnson,Roni Hietaranta,"6-3, 4-6, 6-6",Unfinished,15-8,13-8
2025-04-20,6,0,False,UCLA,Nebraska,Aadarsh Tripathi,Leo Linquet,"3-6, 6-4, 5-5",Unfinished,15-8,13-8
2025-04-18,1,0,False,UCLA,Wisconsin,Rudy Quan,Michael Minasyan,"6-2, 3-6",Unfinished,9-11,12-8
2025-04-18,2,2,False,UCLA,Wisconsin,Emon van Loben Sels,Patrik Meszaros,"6-4, 6-1",Emon van Loben Sels,9-11,12-8
