date,singles_number,order_finished,clincher,player1_school,player2_school,player1_name,player2_name,score,match_winner,home_team_record,away_team_record
2026-04-12,4,3,True,Northwestern,UCLA,Chad Miller,Cassius Chinlund,"0-6, 3-6",Cassius Chinlund,14-6,15-12
2026-04-12,5,0,False,Northwestern,UCLA,Cooper Han,Bengt Reinhard,"4-6, 3-4",Unfinished,14-6,15-12
2026-04-12,6,0,False,Northwestern,UCLA,Vincent Yang,Leo von Bismarck,"1-6, 4-4",Unfinished,14-6,15-12
2026-04-11,1,0,False,Illinois,UCLA,Kenta Miyoshi,Rudy Quan,"6-3, 5-7, 1-1",Unfinished,13-6,20-5
2026-04-11,2,5,True,Illinois,UCLA,Gabriel Debru,Emon van Loben Sels,"7-6(4), 7-6(3)",Gabriel Debru,13-6,20-5
2026-04-11,3,3,False,Illinois,UCLA,William Mroz,Aadarsh Tripathi,"4-6, 5-7",Aadarsh Tripathi,13-6,20-5
2026-04-11,4,2,False,Illinois,UCLA,Sasha Colleu,Cassius Chinlund,"3-6, 3-6",Cassius Chinlund,13-6,20-5
2026-04-11,5,4,False,Illinois,UCLA,Adam Jilly,Bengt Reinhard,"5-7, 6-2, 6-1",Adam Jilly,13-6,20-5
2026-04-11,6,1,False,Illinois,UCLA,Zach Viiala,Leo von Bismarck,"6-1, 6-1",Zach Viiala,13-6,20-5
2026-04-04,1,3,False,Penn State,UCLA,Michael Wright,Emon van Loben Sels,"4-6, 3-6",Emon van Loben Sels,13-5,14-10
2026-04-04,2,4,False,Penn State,UCLA,Marcus Schoeman,Andy Nguyen,"2-6, 5-7",Andy Nguyen,13-5,14-10
2026-04-04,3,5,False,Penn State,UCLA,Reiya Hattori,Aadarsh Tripathi,"3-6, 4-6",Aadarsh Tripathi,13-5,14-10
2026-04-04,4,1,False,Penn State,UCLA,David Lindsay,Cassius Chinlund,"2-6, 1-6",Cassius Chinlund,13-5,14-10
2026-04-04,5,6,True,Penn State,UCLA,Eyal Shyovitz,Bengt Reinhard,"3-6, 5-7",Bengt Reinhard,13-5,14-10
2026-04-04,6,2,False,Penn State,UCLA,Kyle Chesman,Leo von Bismarck,"6-1, 6-4",Kyle Chesman,13-5,14-10
2026-04-03,1,1,False,Ohio State,UCLA,Aidan Kim,Spencer Johnson,"6-3, 6-1",Aidan Kim,12-5,20-3
