Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
"Dual Match: University of Michigan vs University of California, Los Angeles",2025-04-24,Alexander Hoogmartens,Nicholas Steiglehner,13.0,12.71,"2-6, 6-3, 2-2"
"Dual Match: University of California, Los Angeles vs University of Nebraska-Lincoln",2025-04-19,Roni Hietaranta,Spencer Johnson,12.0,13.43,"3-6, 6-4, 6-6(4)"
"Dual Match: University of California, Los Angeles vs University of Nebraska-Lincoln",2025-04-19,Kaylan Bigun,Nikolay Sysoev,13.24,12.0,"6-7(7), 6-1, 7-6(6)"
"Dual Match: University of California, Los Angeles vs University of Nebraska-Lincoln",2025-04-19,Leonardo Lopez Linquet,Aadarsh Tripathi,12.0,12.91,"6-3, 4-6, 6-5"
"Dual Match: University of California, Los Angeles vs University of Nebraska-Lincoln",2025-04-19,Anton Shepp,Emon Van Loben Sels,12.88,13.59,"3-6, 6-3, 6-4"
"Dual Match: University of California, Los Angeles vs University of Nebraska-Lincoln",2025-04-19,Rudy Quan,Calvin MUELLER,13.59,13.0,"3-6, 6-3, 6-1"
"Dual Match: University of California, Los Angeles vs University of Nebraska-Lincoln",2025-04-19,Alexander Hoogmartens,Lars Johann,13.0,12.82,"6-4, 6-4"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-17,Matthew Fullerton,Spencer Johnson,12.0,13.43,"6-1, 5-5"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-17,Sachiv Kumar,Aadarsh Tripathi,12.0,12.91,7-6(9)
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-17,Alexander Hoogmartens,Tomas Zlatohlavek,13.0,11.0,"6-1, 6-1"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-17,Emon Van Loben Sels,Patrik Meszaros,13.59,12.59,"6-4, 6-1"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-17,Michael Minasyan,Rudy Quan,12.0,13.59,"2-6, 6-3"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-17,Kaylan Bigun,Edouard Aubert,13.24,12.0,"7-5, 6-1"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-12,Aadarsh Tripathi,Mitchell Sheldon,12.91,12.58,"6-4, 6-4"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-12,Rudy Quan,Ozan Baris,13.59,13.66,"6-1, 6-2"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-12,Emon Van Loben Sels,Max Sheldon,13.59,13.37,"6-2, 6-4"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-12,Giacomo Revelli,Danial Rakhmatullayev,12.0,12.0,"7-5, 4-3"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-12,Kaylan Bigun,Matthew Forbes,13.24,12.0,"6-3, 5-4"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-12,Alexander Hoogmartens,Vuk Radjenovic,13.0,12.66,"3-6, 6-1, 6-1"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Rudy Quan,William Cooksey,13.59,12.0,"6-3, 6-3"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Kaylan Bigun,Patorn HANCHAIKUL,13.24,12.64,"6-3, 3-6, 1-0"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Alexander Hoogmartens,Nicholas Steiglehner,13.0,12.71,"6-4, 6-3"
