Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
CRABEL TENNIS $2500,2022-10-09,Andrei Crabel,Rex Harrison,11.58,10.0,"7-5, 6-1"
"Waipahu, HI",2022-10-09,Cassius Chinlund,Brody Nejedly Krall,12.34,11.0,"6-2, 6-2"
"Waipahu, HI",2022-10-09,Cassius Chinlund,Payton Jim On,12.34,11.0,"2-6, 6-2, 1-0(7)"
"Waipahu, HI",2022-10-09,Niels Hoffmann,Cassius Chinlund,12.0,12.34,6-0
"Waipahu, HI",2022-10-09,Cassius Chinlund,Michael Seversen,12.34,11.0,"7-5, 6-2"
PTT $25K Newport Beach Men,2022-10-08,Maciej Rajski,Emon Van Loben Sels,13.33,13.59,"7-6(2), 6-1"
2022 UCSB Fall Classic,2022-10-08,Conrad Brown,Aadarsh Tripathi,12.0,12.91,"6-1, 6-3"
2022 UCSB Fall Classic,2022-10-08,Aadarsh Tripathi,Lucca Liu,12.91,12.76,"6-4, 6-4"
2022 UCSB Fall Classic,2022-10-08,Aadarsh Tripathi,Fernando Fonseca,12.91,8.0,"7-5, 6-3"
CRABEL TENNIS $2500,2022-10-08,Andrei Crabel,Jex Frankel,11.58,9.0,"6-1, 6-2"
CRABEL TENNIS $2500,2022-10-08,Logan Blair,Andrei Crabel,10.0,11.58,"7-5, 6-4"
2022 UCSB Fall Classic,2022-10-08,Aadarsh Tripathi,Ryoma Matsushita,12.91,0.0,"6-4, 6-3"
JB1 Nicholasville,2022-10-07,Matthew Forbes,Kaylan Bigun,12.0,13.24,"6-2, 1-6, 6-3"
JB1 Nicholasville,2022-10-07,Adam Bojkovic,Rudy Quan,11.0,13.59,"6-2, 2-6, 7-6"
2022 ITA Men's All-American Championships,2022-10-05,Trey Hilderbrand,Alexander Hoogmartens,13.58,13.0,
2022 ITA Men's All-American Championships,2022-10-04,Chris Rodesch,Alexander Hoogmartens,14.32,13.0,"6-4, 6-0"
Lakewood Super Tournament,2022-10-01,Andrei Crabel,James Truong,11.58,8.0,"7-5, 6-4"
Lakewood Super Tournament,2022-10-01,Andrei Crabel,Michael Seversen,11.58,11.0,
"Pacific Cup - BG18s Intersectional Team Competition (NorCal, SoCal, PNW, & Intermountain ONLY)",2022-10-01,Cassius Chinlund,Soham Purohit,12.34,12.0,"6-3, 6-1"
2022 ITA Men's All-American Championships,2022-10-01,Giacomo Revelli,Vlad Cristian Breazu,12.0,12.91,"4-6, 6-0, 6-3"
2022 ITA Men's All-American Championships,2022-10-01,A.trice Pickens,Giacomo Revelli,0.0,12.0,"6-2, 6-3"
"Pacific Cup - BG18s Intersectional Team Competition (NorCal, SoCal, PNW, & Intermountain ONLY)",2022-10-01,Cassius Chinlund,Justin Lin,12.34,11.0,"6-1, 6-0"
"Pacific Cup - BG18s Intersectional Team Competition (NorCal, SoCal, PNW, & Intermountain ONLY)",2022-10-01,Tannor Binder,Cassius Chinlund,11.0,12.34,
"Pacific Cup - BG18s Intersectional Team Competition (NorCal, SoCal, PNW, & Intermountain ONLY)",2022-10-01,Cassius Chinlund,Matvey Greschner,12.34,9.7,"6-1, 6-4"
Lakewood Super Tournament,2022-10-01,Brody Nejedly Krall,Andrei Crabel,11.0,11.58,"6-3, 6-4"
Lakewood Super Tournament,2022-10-01,Andrei Crabel,Michael Marci,11.58,7.0,"6-1, 6-1"
Lakewood Super Tournament,2022-10-01,Andrei Crabel,Mason Bui,11.58,11.0,"6-4, 6-3"
Lakewood Super Tournament,2022-10-01,Andrei Crabel,Jake Chen,11.58,9.0,"6-2, 6-2"
2022 ITA Men's All-American Championships,2022-09-30,Giacomo Revelli,Ran Amar,12.0,12.0,"6-3, 7-5"
2022 ITA Men's All-American Championships,2022-09-30,Giacomo Revelli,Jordi Redelijk,12.0,0.0,"6-1, 6-3"
"Lakewood, CA",2022-09-18,Cassius Chinlund,Cayden Wang,12.34,11.0,"6-0, 6-1"
"Lakewood, CA",2022-09-18,Cassius Chinlund,Lucas Coriaty,12.34,11.0,"6-1, 6-1"
"Lakewood, CA",2022-09-18,Cassius Chinlund,Jake Chen,12.34,9.0,"6-1, 6-0"
"Lakewood, CA",2022-09-18,Cassius Chinlund,Mason Nguyen,12.34,10.0,
"Lakewood, CA",2022-09-18,Cassius Chinlund,Calvin Wang,12.34,11.0,"6-3, 6-3"
Universal Tennis College Circuit at the University of the Pacific,2022-09-17,Emon Van Loben Sels,Martin Duris,13.59,11.0,"6-3, 6-3"
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (SEPTEMBER 17-19)",2022-09-17,Gustavo Marcanth,Andrei Crabel,10.0,11.58,"7-5, 6-4"
Universal Tennis College Circuit at the University of the Pacific,2022-09-17,Emon Van Loben Sels,Vraj Patel,13.59,11.0,"6-4, 6-7(7), 1-0(3)"
US Open Junior Championships,2022-09-09,Gilles Bailly,Gianluca Ballotta,13.86,12.0,"6-2, 6-1"
US Open Junior Championships,2022-09-09,Adolfo Vallejo,Kaylan Bigun,14.0,13.24,"6-2, 6-2"
"Los Caballeros, Fountain Valley",2022-09-05,Andrei Crabel,Julien Simonian,11.58,9.0,"6-4, 6-7(9), 1-0(7)"
"Los Caballeros, Fountain Valley",2022-09-05,Winston Lee,Andrei Crabel,12.0,11.58,"6-2, 6-2"
M15 Haren,2022-08-30,Dominik BOEHLER,Alexander Hoogmartens,12.0,13.0,"7-5, 7-5"
J1 College Park,2022-08-26,Stiles Brockett,Rudy Quan,12.0,13.59,"2-6, 6-4, 6-2"
J1 College Park,2022-08-26,Rudy Quan,Ariel Zauber,13.59,11.0,"6-1, 6-2"
J1 College Park,2022-08-26,Rudy Quan,Alexander Frusina,13.59,13.13,"5-7, 6-0"
J1 College Park,2022-08-26,Ian Mayew,Kaylan Bigun,12.91,13.24,"6-7, 7-5, 6-3"
M15 Lambermont,2022-08-25,Thomas DESCHAMPS,Alexander Hoogmartens,13.18,13.0,"3-6, 6-3, 7-5"
M15 Lambermont,2022-08-24,Alexander Hoogmartens,Jack Loge,13.0,13.11,"7-5, 2-6, 6-1"
M15 Cancun,2022-08-24,Alan Rubio Fierros,Gianluca Ballotta,12.78,12.0,"7-6(2), 6-1"
Singles & Doubles Lakewood Tennis Center ,2022-08-21,Andrei Crabel,Ronak Santhosh,11.58,8.0,"6-0, 6-2"
Singles & Doubles Lakewood Tennis Center ,2022-08-21,Evan Ancu,Andrei Crabel,9.0,11.58,"6-4, 2-6, 1-0(8)"
M15 Memphis,2022-08-17,Tennys Sandgren,Kaylan Bigun,14.44,13.24,"6-4, 6-1"
M25 Muttenz,2022-08-16,Matteo Martineau,Giacomo Revelli,14.0,12.0,"6-4, 6-4"
M25 Koksijde,2022-08-15,Tibo Colson,Alexander Hoogmartens,13.97,13.0,"6-4, 6-2"
Anaheim Tennis Center,2022-08-14,Andrei Crabel,Xijian Chen,11.58,10.0,"6-1, 6-2"
Anaheim Tennis Center,2022-08-14,Evan Ancu,Andrei Crabel,9.0,11.58,"6-2, 6-3"
Anaheim Tennis Center,2022-08-14,Andrei Crabel,Caleb Settles,11.58,10.0,"6-3, 6-2"
Anaheim Tennis Center,2022-08-14,Andrei Crabel,Mason Foxman,11.58,9.0,"6-3, 6-4"
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,Gabe Avram,12.91,12.0,"6-2, 6-1"
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,Cooper Williams,12.91,13.6,
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,Samir Banerjee,12.91,13.62,
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,James Lian,12.91,11.0,"7-6(4), 6-3"
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,Sebastian Sec,12.91,0.0,"6-1, 6-3"
USTA Boys' 16 & 18 National Championships,2022-08-13,Jack Anthrop,Aadarsh Tripathi,13.57,12.91,"6-3, 6-7(7), 6-4"
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,Eli Stephenson,12.91,12.0,"6-4, 1-6, 1-0(8)"
USTA Boys' 16 & 18 National Championships,2022-08-13,Emon Van Loben Sels,Parker Mariencheck,13.59,11.0,"6-0, 6-4"
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,Alexander Chang,12.91,13.0,"6-2, 6-1"
USTA Boys' 16 & 18 National Championships,2022-08-13,Michael ZHENG,Aadarsh Tripathi,14.04,12.91,"6-3, 6-2"
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,Andy Nguyen,12.91,13.18,
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,Jackson Morash,12.91,10.0,"6-0, 6-1"
USTA Boys' 16 & 18 National Championships,2022-08-13,Calvin Baierl,Rudy Quan,12.0,13.59,"6-4, 1-6, 6-3"
USTA Boys' 16 & 18 National Championships,2022-08-13,Emon Van Loben Sels,Aathreya Mahesh,13.59,0.0,"6-7(7), 6-1, 6-0"
USTA Boys' 16 & 18 National Championships,2022-08-13,Hank Trondson,Kaylan Bigun,12.0,13.24,"2-6, 4-0"
USTA Boys' 16 & 18 National Championships,2022-08-13,Landon Ardila,Emon Van Loben Sels,12.0,13.59,"7-5, 6-2"
USTA Boys' 16 & 18 National Championships,2022-08-13,Matthew Forbes,Cassius Chinlund,12.0,12.34,"6-3, 3-6, 6-3"
USTA Boys' 16 & 18 National Championships,2022-08-13,Mikel Anderson,Cassius Chinlund,11.0,12.34,
USTA Boys' 16 & 18 National Championships,2022-08-13,Cassius Chinlund,Lincoln Baldonado,12.34,10.0,"6-2, 6-0"
USTA Boys' 16 & 18 National Championships,2022-08-13,Cassius Chinlund,Langdon Tingleaf,12.34,11.0,"6-2, 6-0"
USTA Boys' 16 & 18 National Championships,2022-08-13,Cassius Chinlund,Maximus Dussault,12.34,12.54,"4-6, 6-3, 1-0(7)"
USTA Boys' 16 & 18 National Championships,2022-08-13,Cassius Chinlund,Michael Seversen,12.34,11.0,"6-0, 6-1"
USTA Boys' 16 & 18 National Championships,2022-08-13,Kaylan Bigun,Alexander ANEY,13.24,12.0,"6-4, 7-5"
USTA Boys' 16 & 18 National Championships,2022-08-13,Kaylan Bigun,Nicholas Mangiapane,13.24,11.0,"6-2, 6-2"
USTA Boys' 16 & 18 National Championships,2022-08-13,Kyle Kang,Kaylan Bigun,13.0,13.24,"6-2, 6-2"
USTA Boys' 16 & 18 National Championships,2022-08-13,Andy Nguyen,Emon Van Loben Sels,13.18,13.59,"7-6(2), 3-6, 1-0(6)"
USTA Boys' 16 & 18 National Championships,2022-08-13,Rudy Quan,William Semler,13.59,12.0,"6-1, 6-2"
USTA Boys' 16 & 18 National Championships,2022-08-13,Rudy Quan,Kaosie Nwokedi,13.59,11.0,"6-3, 6-2"
USTA Boys' 16 & 18 National Championships,2022-08-13,Rudy Quan,Andrew Hayduke II,13.59,12.0,"6-3, 6-2"
USTA Boys' 16 & 18 National Championships,2022-08-13,Rudy Quan,Ian Bracks,13.59,12.56,"7-6(3), 7-6(6)"
USTA Boys' 16 & 18 National Championships,2022-08-13,Mikel Anderson,Rudy Quan,11.0,13.59,
USTA Boys' 16 & 18 National Championships,2022-08-13,Emon Van Loben Sels,Cole Brashear,13.59,11.0,"6-1, 6-7(7), 6-4"
M15 Eupen,2022-08-10,Alexander BLOCKX,Giacomo Revelli,14.53,12.0,"6-2, 6-1"
M15 Eupen,2022-08-09,Michiel De Krom,Alexander Hoogmartens,13.72,13.0,"7-5, 6-3"
"ATP Challenger Lima, Peru",2022-08-08,Alejandro Hoyos Franco,Gianluca Ballotta,0.0,12.0,"7-6, 6-4"
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (AUGUST 6-8)",2022-08-07,Charlie Underwood,Andrei Crabel,12.0,11.58,"6-2, 6-1"
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (AUGUST 6-8)",2022-08-06,Andrei Crabel,Carlos Encinas Galan,11.58,0.0,"6-1, 7-6(4)"
M15 Xativa,2022-08-04,Alex Barrena,Giacomo Revelli,14.1,12.0,"6-1, 6-3"
M15 Xativa,2022-08-03,Giacomo Revelli,Sergi Fita Juan,12.0,12.98,"6-1, 6-0"
USTA Battle of the Sections (Boys' 16 & 18),2022-08-02,Cassius Chinlund,Saahith Jayaraman,12.34,12.0,"2-6, 6-1, 1-0(6)"
USTA Battle of the Sections (Boys' 16 & 18),2022-08-02,Cassius Chinlund,Alex Feies,12.34,12.0,"6-2, 6-4"
USTA Battle of the Sections (Boys' 16 & 18),2022-08-02,Cassius Chinlund,Nicholas Patrick,12.34,12.0,"6-0, 4-6, 6-4"
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (JULY 29- AUGUST 1)",2022-07-31,Rudy Quan,James Macdonald,13.59,11.0,"6-2, 1-6, 1-0(8)"
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (JULY 29- AUGUST 1)",2022-07-31,Parashar Bharadwaj,Rudy Quan,12.0,13.59,
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (JULY 29- AUGUST 1)",2022-07-30,Rudy Quan,Dylan Waldorf Martin,13.59,11.0,"6-3, 6-1"
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (JULY 29- AUGUST 1)",2022-07-30,Rudy Quan,Andy Hernandez,13.59,10.0,"6-4, 6-1"
M25 Denia,2022-07-28,Mariano NAVONE,Giacomo Revelli,15.42,12.0,"5-7, 6-3, 6-3"
M25 Denia,2022-07-27,Giacomo Revelli,Svyatoslav Gulin,12.0,13.95,"2-6, 6-3, 6-1"
M25 Nottingham,2022-07-26,Toby Samuel,Alexander Hoogmartens,13.72,13.0,"6-3, 6-2"
J2 Bogotá,2022-07-23,Fernando Cavallo,Kaylan Bigun,12.8,13.24,"7-6, 7-6"
J2 Bogotá,2022-07-23,Kaylan Bigun,Antonio Ayerbe Streubel,13.24,9.0,"4-6, 6-2, 6-0"
J2 Bogotá,2022-07-23,Kaylan Bigun,Juan Felipe Alayon Guevara,13.24,0.0,"6-2, 7-6"
J2 Bogotá,2022-07-23,Kaylan Bigun,Gianluca Citadini,13.24,11.0,"2-6, 6-2, 6-4"
J2 Bogotá,2022-07-23,Fernando Cavallo,Gianluca Ballotta,12.8,12.0,"7-6, 7-6"
J2 Bogotá,2022-07-23,Gianluca Ballotta,Simon Andres Ojeda Viloria,12.0,10.0,"6-0, 7-5"
J2 Bogotá,2022-07-23,Gianluca Ballotta,Duncan Chan,12.0,12.92,"6-1, 7-5"
J2 Bogotá,2022-07-23,Gianluca Ballotta,Matvey Greschner,12.0,9.7,"6-3, 6-3"
J2 Bogotá,2022-07-23,Gianluca Ballotta,Segundo Goity Zapico,12.0,12.41,"6-1, 6-3"
PTT $25K Newport Beach Men,2022-07-22,Spencer Brachman,Emon Van Loben Sels,0.0,13.59,2-1
PTT $25K Newport Beach Men,2022-07-22,Nate Bonetto,Aadarsh Tripathi,13.0,12.91,"6-3, 6-2"
M25 Playa de Gandia,2022-07-20,Sergi Perez Contri,Giacomo Revelli,13.72,12.0,"6-4, 6-2"
"BATTLE OF BOCA-PRESENTED BY JASON ZAFIROS – $10,000 Purse + $25K PTT WC  ...Men's & Women's Open with Doubles + Mix - UTR Tournament",2022-07-17,Marek Michulka,Rudy Quan,10.0,13.59,
"BATTLE OF BOCA-PRESENTED BY JASON ZAFIROS – $10,000 Purse + $25K PTT WC  ...Men's & Women's Open with Doubles + Mix - UTR Tournament",2022-07-16,Rudy Quan,Jesus David Soto Bossa,13.59,9.0,"6-0, 6-0"
USTA Boys 18 & 16 National Clay Court Championships hosted by the City of Delray Beach,2022-07-16,Matisse Farzam,Cassius Chinlund,12.54,12.34,
USTA Boys 18 & 16 National Clay Court Championships hosted by the City of Delray Beach,2022-07-15,Mikel Anderson,Cassius Chinlund,11.0,12.34,"1-6, 6-3, 6-3"
USTA Boys 18 & 16 National Clay Court Championships hosted by the City of Delray Beach,2022-07-14,Cassius Chinlund,Dylan Jaen,12.34,11.0,"6-2, 6-2"
M25 Uriage,2022-07-14,Pol Martin Tiffon,Giacomo Revelli,14.14,12.0,"6-2, 2-6, 6-0"
USTA Boys 18 & 16 National Clay Court Championships hosted by the City of Delray Beach,2022-07-13,Cassius Chinlund,Brody Nejedly Krall,12.34,11.0,"6-4, 6-7(10), 6-4"
M25 Roehampton,2022-07-13,Alastair Gray,Alexander Hoogmartens,13.95,13.0,"3-6, 6-4, 6-3"
M25 Uriage,2022-07-13,Giacomo Revelli,Alexandre RECO,12.0,13.37,"7-5, 7-6(8)"
M25 Roehampton,2022-07-12,Alexander Hoogmartens,Oliver Tarvet,13.0,14.0,"6-4, 6-3"
USTA Boys 18 & 16 National Clay Court Championships hosted by the City of Delray Beach,2022-07-12,Cassius Chinlund,Edward Liao,12.34,12.0,"7-5, 6-0"
M15 Cancun,2022-07-12,Fernando Yamacita,Kaylan Bigun,12.57,13.24,"7-5, 6-2"
USTA Boys 18 & 16 National Clay Court Championships hosted by the City of Delray Beach,2022-07-11,Cassius Chinlund,Ethan Martelli,12.34,9.0,"6-1, 6-3"
USTA Boys 18 & 16 National Clay Court Championships hosted by the City of Delray Beach,2022-07-11,AJ Mercer,Rudy Quan,10.0,13.59,"6-4, 6-2"
USTA Boys 18 & 16 National Clay Court Championships hosted by the City of Delray Beach,2022-07-10,Carter Pate,Rudy Quan,12.0,13.59,"6-2, 3-6, 6-2"
J4 Daytona Beach,2022-07-08,Tanner Povey,Rudy Quan,12.0,13.59,"2-6, 7-6, 6-4"
135th Annual Southern California Open Sectional Championships ($20K),2022-07-07,Ryan Torres,Emon Van Loben Sels,12.0,13.59,"6-2, 1-6, 6-1"
M15 Waco,2022-07-07,Shunsuke Mitsui,Kaylan Bigun,13.6,13.24,"6-2, 6-4"
135th Annual Southern California Open Sectional Championships ($20K),2022-07-07,Jean-Baptiste Badon,Aadarsh Tripathi,11.0,12.91,"6-1, 6-3"
M15 Waco,2022-07-06,Kaylan Bigun,Jakub Ostajewski,13.24,0.0,"6-3, 6-3"
135th Annual Southern California Open Sectional Championships ($20K),2022-07-06,Aadarsh Tripathi,Jayson Blando,12.91,11.59,"6-2, 6-3"
135th Annual Southern California Open Sectional Championships ($20K),2022-07-06,Aadarsh Tripathi,Justin Lamy,12.91,11.0,"6-0, 6-2"
135th Annual Southern California Open Sectional Championships ($20K),2022-07-06,Emon Van Loben Sels,Austin Di Giulio,13.59,0.0,"6-3, 7-5"
135th Annual Southern California Open Sectional Championships ($20K),2022-07-06,Emon Van Loben Sels,Sebastian Bader,13.59,0.0,"6-3, 6-3"
M25 Getxo,2022-07-04,Mario Mansilla Diez,Giacomo Revelli,12.24,12.0,"6-2, 6-1"
M25 Getxo,2022-07-03,Giacomo Revelli,Jon Ander Garcia Blanco,12.0,0.0,"6-0, 6-0"
J2 Castricum,2022-07-02,Lorenzo Carboni,Gianluca Ballotta,13.81,12.0,"6-0, 2-0"
INSPIRATION ACADEMY COLLEGIATE & JUNIOR ONE-ON-ONE DOUBLES PRIZE $ SHOOTOUT #4,2022-07-01,Kaylan Bigun,Sydney Fuger,13.24,8.0,4-1
INSPIRATION ACADEMY COLLEGIATE & JUNIOR ONE-ON-ONE DOUBLES PRIZE $ SHOOTOUT #4,2022-07-01,Kaylan Bigun,Virginia Crocker,13.24,9.0,4-2
INSPIRATION ACADEMY COLLEGIATE & JUNIOR ONE-ON-ONE DOUBLES PRIZE $ SHOOTOUT #4,2022-07-01,Kaylan Bigun,Alec Martinez,13.24,9.0,4-1
INSPIRATION ACADEMY COLLEGIATE & JUNIOR ONE-ON-ONE DOUBLES PRIZE $ SHOOTOUT #4,2022-07-01,Kaylan Bigun,Caio Lacerda,13.24,0.0,4-1
INSPIRATION ACADEMY COLLEGIATE & JUNIOR ONE-ON-ONE DOUBLES PRIZE $ SHOOTOUT #4,2022-07-01,Kaylan Bigun,Matthew FOSTER-ESTWICK,13.24,0.0,4-3(5)
J1 Roehampton,2022-06-30,Kyle Hughes,Kaylan Bigun,10.0,13.24,"3-6, 7-5, 1-0(7)"
M25 The Hague,2022-06-26,Thorsten SOLLIE,Alexander Hoogmartens,0.0,13.0,"7-6, 6-2"
"JMG UTR Events - $2,500 Open - FLIGHTS FOR ALL LEVELS",2022-06-26,Emon Van Loben Sels,Max Fardanesh,13.59,12.0,"6-2, 6-3"
"JMG UTR Events - $2,500 Open - FLIGHTS FOR ALL LEVELS",2022-06-26,Jack Bulger,Emon Van Loben Sels,9.0,13.59,"2-6, 6-3, 1-0(8)"
J2 Bruchkoebel,2022-06-25,Gianluca Ballotta,Taym Al Azmeh,12.0,12.59,"0-6, 6-2, 6-1"
"JMG UTR Events - $2,500 Open - FLIGHTS FOR ALL LEVELS",2022-06-25,Emon Van Loben Sels,Tyler Byrne,13.59,0.0,"6-0, 6-0"
J2 Bruchkoebel,2022-06-25,Gianluca Ballotta,Filip Apltauer,12.0,12.43,"7-6, 6-3"
J2 Bruchkoebel,2022-06-25,Gianluca Ballotta,Albert Pedrico Kravtsov,12.0,13.33,"7-6, 7-6"
J2 Bruchkoebel,2022-06-25,Mihai Coman,Gianluca Ballotta,12.62,12.0,"6-1, 7-5"
"JMG UTR Events - $2,500 Open - FLIGHTS FOR ALL LEVELS",2022-06-25,Emon Van Loben Sels,Micah Elias,13.59,9.0,"6-3, 6-3"
J1 Nottingham,2022-06-24,Jaden Weekes,Kaylan Bigun,13.12,13.24,"7-6, 6-3"
M25 Arlon,2022-06-24,Gauthier Onclin,Alexander Hoogmartens,14.28,13.0,"6-2, 2-6, 7-6(5)"
J1 Nottingham,2022-06-24,Kaylan Bigun,Fabio Nestola,13.24,11.71,"7-6, 6-3"
J1 Nottingham,2022-06-24,Kaylan Bigun,Rei Sakamoto,13.24,14.2,"6-3, 6-2"
M25 Arlon,2022-06-23,Alexander Hoogmartens,Cezar Cretu,13.0,13.7,"7-5, 7-6(1)"
M25 Arlon,2022-06-22,Alexander Hoogmartens,Constantin FRANTZEN,13.0,13.21,"6-4, 6-1"
2022 USTA National Open Hard Court Championships,2022-06-19,Jayson Blando,Rudy Quan,11.59,13.59,
2022 ITA Summer Circuit hosted by University of the Pacific,2022-06-19,Arthur NEUHAUS,Emon Van Loben Sels,11.0,13.59,"6-3, 6-3"
2022 ITA Summer Circuit hosted by University of the Pacific,2022-06-19,Emon Van Loben Sels,Jack Bulger,13.59,9.0,"6-2, 6-1"
2022 USTA National Open Hard Court Championships,2022-06-18,Aaron Bailey,Rudy Quan,11.0,13.59,
2022 ITA Summer Circuit hosted by University of the Pacific,2022-06-18,Emon Van Loben Sels,Jack Van Ness,13.59,0.0,"6-1, 6-3"
2022 ITA Summer Circuit hosted by University of the Pacific,2022-06-18,Emon Van Loben Sels,Sean Barstow,13.59,0.0,"6-2, 6-1"
2022 USTA National Open Hard Court Championships,2022-06-17,Rudy Quan,Lance Lage,13.59,11.28,"6-4, 6-3"
J2 Gladbeck,2022-06-17,Gianluca Ballotta,Peter Buldorini,12.0,13.04,"6-3, 6-3"
J2 Gladbeck,2022-06-17,Gianluca Ballotta,Jan Kobierski,12.0,12.42,"7-6, 6-2"
J2 Gladbeck,2022-06-17,Gianluca Ballotta,Aayush P Bhat,12.0,11.32,"6-3, 6-0"
J2 Gladbeck,2022-06-17,Gianluca Ballotta,Jelani Sarr,12.0,12.95,"6-2, 6-2"
J2 Gladbeck,2022-06-17,Gianluca Ballotta,Adriano Dzhenev,12.0,11.0,"7-6, 6-2"
2022 USTA National Open Hard Court Championships,2022-06-16,Rudy Quan,Kallim Stewart,13.59,9.0,"6-0, 6-2"
2022 USTA National Open Hard Court Championships,2022-06-15,Rudy Quan,Nick Grove,13.59,11.0,"6-3, 6-2"
M15 Duffel,2022-06-14,Simon Carr,Alexander Hoogmartens,0.0,13.0,"6-3, 6-1"
2022 USTA National Open Hard Court Championships,2022-06-14,Rudy Quan,Anirudh Rao,13.59,10.0,"6-1, 6-3"
Verified Matchplay at TTC Newport Beach Hosted by Kareem,2022-06-12,Emon Van Loben Sels,Jan Silva,13.59,12.0,"6-4, 6-2"
J1 Bamberg,2022-06-11,Matthew Donald,Gianluca Ballotta,13.15,12.0,"3-6, 6-0, 6-3"
J1 Bamberg,2022-06-11,Gianluca Ballotta,Justin Engel,12.0,13.74,"6-2, 7-6"
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (June 11-12)",2022-06-11,Lucas Coriaty,Emon Van Loben Sels,11.0,13.59,"3-6, 6-3, 1-0(7)"
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (MAY 28-30)",2022-05-29,Emon Van Loben Sels,Spencer Brachman,13.59,0.0,"6-4, 6-2"
PTT $25K Newport Beach Men,2022-05-29,Aadarsh Tripathi,Lucca Liu,12.91,12.76,"2-6, 6-3, 6-4"
PTT $25K Newport Beach Men,2022-05-29,Semen Pankin,Giacomo Revelli,13.19,12.0,"6-1, 6-3"
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (MAY 28-30)",2022-05-29,Emon Van Loben Sels,Bruno Krenn,13.59,0.0,"6-4, 2-6, 1-0(9)"
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (MAY 28-30)",2022-05-28,Emon Van Loben Sels,Maxim Groysman,13.59,12.0,"6-1, 6-0"
"NEWPORT BEACH $25,000 WILD CARD TOURNAMENT + $2000 PRIZE MONEY (MAY 28-30)",2022-05-28,Emon Van Loben Sels,Lucas Coriaty,13.59,11.0,"2-6, 6-4, 1-0(7)"
2022 Division I NCAA Tennis Championships,2022-05-28,Brian Kubik,Alexander Hoogmartens,0.0,13.0,"6-1, 6-1"
PTT $25K Newport Beach Men,2022-05-28,Aadarsh Tripathi,Dominique Rolland,12.91,12.0,
PTT $25K Newport Beach Men,2022-05-28,Giacomo Revelli,Hugo HASHIMOTO,12.0,12.88,"6-4, 3-6, 7-5"
J1 Charleroi-Marcinelle,2022-05-27,Kaylan Bigun,Taym Al Azmeh,13.24,12.59,"6-4, 6-3"
PTT $25K Newport Beach Men,2022-05-27,Giacomo Revelli,Conrad Brown,12.0,12.0,"7-5, 6-1"
J1 Charleroi-Marcinelle,2022-05-27,Matthew Donald,Kaylan Bigun,13.15,13.24,"6-4, 6-0"
PTT $25K Newport Beach Men,2022-05-26,Aadarsh Tripathi,Dylan Tsoi,12.91,11.0,"5-7, 6-3, 6-4"
CIF Southern Section Individual Championships,2022-05-25,Cassius Chinlund,AJ Moore,12.34,11.0,"6-1, 2-6, 1-0(1)"
CIF Southern Section Individual Championships,2022-05-25,Cassius Chinlund,Daniel Choi,12.34,10.0,"6-4, 6-3"
CIF Southern Section Individual Championships,2022-05-25,Cassius Chinlund,Eduardo Gonzalez,12.34,11.0,"6-4, 5-5"
CIF Southern Section Individual Championships,2022-05-25,Andy Nguyen,Cassius Chinlund,13.18,12.34,"6-3, 6-1"
J2 Hannover,2022-05-20,Kaylan Bigun,Ivan Sodan,13.24,12.0,"6-4, 6-3"
J2 Hannover,2022-05-20,Kaylan Bigun,Vit Kalina,13.24,12.6,"6-3, 6-4"
J2 Hannover,2022-05-20,Kaylan Bigun,Joel Schwaerzler,13.24,13.78,"7-6, 6-3"
J2 Hannover,2022-05-20,Nikola Zekic,Kaylan Bigun,0.0,13.24,"6-1, 6-0"
J3 Lima,2022-05-13,Gianluca Ballotta,Cyrus Mahjoob,12.0,12.62,"6-2, 6-3"
