opponent_school,opponent,score,result,date
University of San Diego - Men,Vincent Marysko,3-6 7-6 7-5,W,02/25/26
University of Southern California,Nathan Trouve,7-5 7-5,W,02/20/26
"University of Nevada, Las Vegas",Marko Maksimovic,6-2 6-2,W,02/14/26
Pepperdine University,Maximilian Homberg,6-0 3-6 6-4,W,02/06/26
"University of California, Berkeley - Men",Tiago Silva,6-4 7-5,W,01/31/26
Stanford University,Alexander Chang,7-6 5-5,UF,01/30/26
"University of California, Santa Barbara",Lucca Liu,3-6 4-6,L,01/23/26
University of New Mexico,Dario Alexandru Ciobotaru,6-3 4-1,UF,01/22/26
"University of California, Irvine",Tal Goodman,6-2 6-2,W,01/16/26
,Aadarsh Tripathi,6-2 6-1,W,10/20/25
,Charlie Underwood,6-4 7-5,W,10/20/25
,Jelani Sarr,6-2 5-7 6-4,W,10/20/25
,Filip Gustafsson,6-1 6-4,W,10/20/25
,Aleksa Pisaric,6-4 6-0,W,10/20/25
University of Texas at Austin,Timo Legout,5-7 2-6,L,05/15/25
