Event Name,Date,Player1,Player1 UTR,Player2,Player2 UTR,Score,Searched Name
2023 Laguna Creek $2500 Open,2023-06-24,Aadarsh Tripathi,13.01,Tyler Toni,9.0,"6-3, 6-1",Aadarsh Tripathi
Dual Match: Northwestern University vs Ucla,2023-05-04,Simen Sunde Bratholm,11.0,Aadarsh Tripathi,13.01,"6-4, 6-2",Aadarsh Tripathi
Dual Match: UCLA vs Utah,2023-04-26,Francisco Bastias,0.0,Aadarsh Tripathi,13.01,"6-4, 6-3",Aadarsh Tripathi
Dual Match: UCLA vs Utah,2023-04-21,Francisco Bastias,0.0,Aadarsh Tripathi,13.01,"1-6, 6-4, 7-5",Aadarsh Tripathi
Dual Match: UCLA vs Usc,2023-04-18,Peter Makk,14.01,Aadarsh Tripathi,13.01,"6-1, 6-4",Aadarsh Tripathi
Dual Match: UCLA vs Uc San Diego,2023-04-16,Aadarsh Tripathi,13.01,Diogo Tinoco,11.0,"6-2, 6-1",Aadarsh Tripathi
Dual Match: University of Oregon vs Ucla,2023-04-14,Jesper Klöv Nilsson,11.0,Aadarsh Tripathi,13.01,"4-6, 3-4",Aadarsh Tripathi
Dual Match: UCLA vs Washington,2023-04-13,Aadarsh Tripathi,13.01,César Bouchelaghem,13.63,"6-3, 3-6, 2-1",Aadarsh Tripathi
Dual Match: UCLA vs Stanford,2023-04-07,Aryan Chaudhary,0.0,Aadarsh Tripathi,13.01,"6-4, 6-4",Aadarsh Tripathi
Dual Match: UCLA vs California,2023-04-06,Carl Emil Overbeck,14.04,Aadarsh Tripathi,13.01,"6-1, 6-3",Aadarsh Tripathi
Dual Match: Arizona State University vs Ucla,2023-04-01,Maxwell McKennon,13.43,Aadarsh Tripathi,13.01,"6-2, 6-2",Aadarsh Tripathi
UCLA at University of Arizona,2023-03-31,Gustaf Strom,12.93,Aadarsh Tripathi,13.01,"6-2, 6-1",Aadarsh Tripathi
Dual Match: UCLA vs Oklahoma State,2023-03-17,Aadarsh Tripathi,13.01,Chase Ferguson,13.2,"6-2, 3-6, 6-4",Aadarsh Tripathi
Columbia University at UCLA,2023-03-16,Max Westphal,13.18,Aadarsh Tripathi,13.01,"7-6(4), 6-4",Aadarsh Tripathi
Dual Match: UCLA vs Yale,2023-03-12,Aadarsh Tripathi,13.01,Luke Neal,0.0,"7-5, 6-4",Aadarsh Tripathi
Dual Match: UCLA vs Tcu,2023-03-10,Sander Jong,14.06,Aadarsh Tripathi,13.01,"6-3, 6-1",Aadarsh Tripathi
University of Pennsylvania at UCLA,2023-03-08,Aadarsh Tripathi,13.01,kevin zhu,0.0,"7-5, 6-4",Aadarsh Tripathi
Dual Match: University of Southern California vs UCLA,2023-02-28,Wojciech Marek,13.0,Aadarsh Tripathi,13.01,"3-6, 4-4",Aadarsh Tripathi
Dual Match: UCLA vs UC Irvine,2023-02-10,Aadarsh Tripathi,13.01,Rithvik Krishna,12.0,"7-5, 6-7(8), 1-0(6)",Aadarsh Tripathi
Dual Match: UCLA vs University of Southern California,2023-01-28,Wojciech Marek,13.0,Aadarsh Tripathi,13.01,"6-3, 6-4",Aadarsh Tripathi
Dual Match: UCLA vs University of Memphis,2023-01-27,Conor Gannon,13.14,Aadarsh Tripathi,13.01,"2-6, 6-4, 2-0",Aadarsh Tripathi
Dual Match: UCLA vs Pepperdine,2023-01-20,Maximilian Homberg,13.15,Aadarsh Tripathi,13.01,"4-6, 6-4, 6-1",Aadarsh Tripathi
"Dual Match: UCLA vs Univ. of Hawaii, Manoa",2023-01-19,Aadarsh Tripathi,13.01,Lucas Labrunie,10.0,"3-6, 6-1, 6-1",Aadarsh Tripathi
Sherwood Cup,2023-01-12,Giulio Perego,13.13,Aadarsh Tripathi,13.01,"6-4, 3-6, 7-5",Aadarsh Tripathi
Sherwood Cup,2023-01-12,Luke Casper,12.0,Aadarsh Tripathi,13.01,"6-3, 1-6, 6-3",Aadarsh Tripathi
