Serve State,Stroke,Result,Hit Side,Hit Zone,Hit (x),Hit (y),Bounce (x),Bounce (y),Point Winner,shotContactX,shotContactY,shotLocationX,shotLocationY,return_zone_original,return_zone,return_contact
second,Backhand,Out,far,ad,160.88076881006563,509.9033027118975,130.08019466309992,-511.707999781013,guest,-160.88076881006563,-509.9033027118975,-130.08019466309992,511.707999781013,Down the Line,Down the Line,mid
second,Backhand,host,far,ad,156.0962106298406,487.17665135582877,-24.517683727021453,-374.69337270321853,host,-156.0962106298406,-487.17665135582877,24.517683727021453,374.69337270321853,Middle,Middle,mid
second,Backhand,host,near,ad,-154.30200131225624,-407.8217300960273,0.4528871391073776,193.73495188091482,host,-154.30200131225624,-407.8217300960273,0.4528871391073776,193.73495188091482,Middle,Middle,inside
second,Backhand,Out,far,ad,110.34385389320634,451.29246500414126,198.84581692903112,-394.78361767258696,guest,-110.34385389320634,-451.29246500414126,-198.84581692903112,394.78361767258696,Down the Line,Down the Line,inside
second,Backhand,host,far,ad,97.18631889758758,446.50790682391624,38.118153980732714,-272.1610181538402,host,-97.18631889758758,-446.50790682391624,-38.118153980732714,272.1610181538402,Middle,Middle,inside
second,Backhand,guest,near,ad,-124.17425087482648,-363.56460520541145,-9.729762685909234,403.49323600154133,guest,-124.17425087482648,-363.56460520541145,-9.729762685909234,403.49323600154133,Middle,Middle,inside
second,Backhand,guest,far,ad,94.86883202094836,523.0608377075163,132.43523075233753,-183.5704451005176,guest,-94.86883202094836,-523.0608377075163,-132.43523075233753,183.5704451005176,Down the Line,Down the Line,deep
second,Backhand,guest,far,ad,156.9932961504001,478.803674540435,-50.196713692012565,-335.8657261590566,guest,-156.9932961504001,-478.803674540435,50.196713692012565,335.8657261590566,Middle,Middle,mid
second,Backhand,Net,far,ad,100.99903762024529,447.1059765964444,31.323889982486005,20.76452318459122,guest,-100.99903762024529,-447.1059765964444,-31.323889982486005,0.0,Middle,Middle,inside
second,Backhand,guest,near,ad,-169.55279964995614,-506.8022965876647,14.092016622914855,196.8960520558913,guest,-169.55279964995614,-506.8022965876647,14.092016622914855,196.8960520558913,Middle,Middle,mid
second,Backhand,host,far,ad,3.847741688536945,542.1990704284162,-51.56551837267677,-158.16275699904338,host,-3.847741688536945,-542.1990704284162,51.56551837267677,158.16275699904338,Middle,Middle,deep
second,Backhand,host,near,ad,-146.153286307886,-392.5709700347928,61.085372922103176,170.79081364820576,host,-146.153286307886,-392.5709700347928,61.085372922103176,170.79081364820576,Cross Court,Cross Court,inside
second,Forehand,guest,far,ad,38.463369422552304,444.11562773380376,-39.221894138212456,-311.0187882763048,guest,-38.463369422552304,-444.11562773380376,39.221894138212456,311.0187882763048,Middle,Middle,inside
second,Backhand,guest,far,ad,134.5656988188281,460.86158136459125,-1.3650918635163551,-311.34099956239385,guest,-134.5656988188281,-460.86158136459125,1.3650918635163551,311.34099956239385,Middle,Middle,mid
