Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL
Edouard Aubert,N/A,N/A,N/A,0-0,0-0,https://uwbadgers.com/sports/mens-tennis/roster/edouard-aubert/14677,N/A
Collin Beduhn,N/A,N/A,N/A,0-0,0-0,https://uwbadgers.com/sports/mens-tennis/roster/collin-beduhn/14678,N/A
Matthew Fullerton,N/A,N/A,N/A,0-0,0-0,https://uwbadgers.com/sports/mens-tennis/roster/matthew-fullerton/14679,N/A
Ferdinand Kloesters,N/A,N/A,N/A,0-0,0-0,https://uwbadgers.com/sports/mens-tennis/roster/ferdinand-kloesters/14680,N/A
Sachiv Kumar,N/A,N/A,N/A,0-0,0-0,https://uwbadgers.com/sports/mens-tennis/roster/sachiv-kumar/14681,N/A
Patrik Meszaros,N/A,N/A,N/A,0-0,0-0,https://uwbadgers.com/sports/mens-tennis/roster/patrik-meszaros/14682,N/A
Michael Minasyan,N/A,N/A,N/A,0-0,0-0,https://uwbadgers.com/sports/mens-tennis/roster/michael-minasyan/14683,N/A
Oliver Olsson,N/A,N/A,N/A,0-0,0-0,https://uwbadgers.com/sports/mens-tennis/roster/oliver-olsson/14684,N/A
Tomas Zlatohlavek,N/A,N/A,N/A,0-0,0-0,https://uwbadgers.com/sports/mens-tennis/roster/tomas-zlatohlavek/14685,N/A
