Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL,Overall_Record,Conference_Record
Taym Alazmeh,,,,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/taym-alazmeh/16356,https://app.utrsports.net/profiles/4381966,0-0,0-0
Ozan Baris,,,,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/ozan-baris/16357,https://app.utrsports.net/profiles/119645,2-0,2-0
Matthew Forbes,,,,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/matthew-forbes/16358,https://app.utrsports.net/profiles/214435,1-1,1-1
Vuk Radjenovic,,,,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/vuk-radjenovic/16359,https://app.utrsports.net/profiles/3309846,0-0,0-0
Danial Rakhmatullayev,,,,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/danial-rakhmatullayev/16360,https://app.utrsports.net/profiles/5600498,1-1,1-1
David Saye,,,,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/david-saye/16361,https://app.utrsports.net/profiles/1520535,0-0,0-0
Mitchell Sheldon,,,,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/mitchell-sheldon/16362,https://app.utrsports.net/profiles/680641,1-0,1-0
Aristotelis Thanos,,,,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/aristotelis-thanos/16363,https://app.utrsports.net/profiles/2712240,2-0,2-0
Nolan W.,,,,0-0,0-0,https://msuspartans.com/sports/mens-tennis/roster/nolan-w/16869,https://app.utrsports.net/profiles/274901,0-0,0-0
