Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL,Overall_Record,Conference_Record
Arnav Bhandari,Skip Ad,"San Ramon, Calif.",,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/arnav-bhandari/27303,https://app.utrsports.net/profiles/3104668,0-0,0-0
Alex Cairo,Skip Ad,"Dallas, Texas",,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/alex-cairo/27297,https://app.utrsports.net/profiles/4998636,0-1,0-1
Max Dahlin,Skip Ad,"Karlstad, Sweden",,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/max-dahlin/27298,https://app.utrsports.net/profiles/5619888,1-0,1-0
Mert Oral,Skip Ad,"Ann Arbor, Mich.",,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/mert-oral/27300,https://app.utrsports.net/profiles/4888907,0-1,0-1
Joseph Oyebog Jr.,Skip Ad,Skip Ad,,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/joseph-oyebog-jr/27304,https://app.utrsports.net/profiles/4202000,0-0,0-0
Pierce Shaya,Skip Ad,"Bloomfield Hills, Mich.",,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/pierce-shaya/27305,https://app.utrsports.net/profiles/3205675,0-1,0-1
Nicholas Steiglehner,Skip Ad,"New York, N.Y.",,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/nicholas-steiglehner/27301,https://app.utrsports.net/profiles/4013968,1-0,1-0
Bjorn Swenson,Skip Ad,"North Oaks, Minn.",,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/bjorn-swenson/27302,https://app.utrsports.net/profiles/112464,1-0,1-0
