opponent_school,opponent,score,result,date
University of Oregon,Paris Pouatcha,6-3 6-3,W,03/28/25
University of Illinois at Urbana-Champaign,William Mroz,2-6 6-3 0-4,UF,03/20/25
Purdue University,Juan David Velasquez,6-0 6-2,W,03/08/25
Indiana University,Jip Van Assendelft,6-3 6-3,W,03/06/25
University of Southern California,Nathan Trouve,5-7 2-6,L,02/21/25
Pepperdine University,Maximilian Homberg,6-2 6-3,W,02/15/25
University of Georgia,Miguel Perez Pena,5-7 4-6,L,01/25/25
Texas A&M University,Luke Casper,4-6 3-6,L,01/24/25
University of San Diego,Savriyan Danilov,3-6 7-5 0-2,UF,01/19/25
"University of California, Irvine",Hiroki Sakagawa,6-7(7) 2-5,UF,01/16/25
