opponent_school,opponent,score,result,date
University of Texas at Austin,Sebastian Gorzny,6-3 7-6(2),W,05/15/25
University of Southern California,Nathan Trouve,6-4 5-7 6-3,W,05/08/25
"University of California, Berkeley",Alexander Chang,3-6 7-5 5-5,UF,05/02/25
"University of California, Santa Barbara",Dominique Rolland,4-6 4-4,UF,05/01/25
The Ohio State University,Alexander Bernard,7-6(5) 5-7 6-3,W,04/26/25
Michigan State University,Ozan Baris,7-5 3-2,UF,04/25/25
University of Michigan,Bjorn Swenson,4-6 4-6,L,04/24/25
University of Nebraska-Lincoln,Anton Shepp,6-3 3-6 4-6,L,04/19/25
University of Wisconsin-Madison,Patrik Meszaros,6-4 6-1,W,04/17/25
Michigan State University,Max Sheldon,6-2 6-4,W,04/12/25
University of Michigan,Bjorn Swenson,7-5 5-1,UF,04/10/25
Pennsylvania State University,Sam Bossem,6-1 5-6,UF,04/05/25
Ohio State University,Aidan Kim,7-5 4-6,UF,04/03/25
The Ohio State University,Aidan Kim,7-5 4-5,UF,04/03/25
University of Southern California,Volodymyr Iakubenko,7-6(4) 6-4,W,03/31/25
