opponent_school,opponent,score,result,date
,Corey Craig,2-6 2-6,L,11/23/24
,Max Basing,6-2 6-2,W,11/19/24
,Derrick Chen,6-3 3-6 6-4,W,11/19/24
,Alexander Hoogmartens,6-4 6-1 6-2,W,11/19/24
,Maximilian Homberg,2-6 5-7,L,11/19/24
,Alexander Hoogmartens,6-4 6-1 6-2,W,11/19/24
,Noah Zamora,2-6 1-6,L,10/21/24
,Tanner Povey,6-4 6-2,W,10/21/24
,Linus Carlsson Halldin,6-0 6-1,W,10/21/24
,Savriyan Danilov,2-6 6-7(2),L,10/21/24
,Bastiaan Weststrate,6-1 6-3,W,10/21/24
,Karl Lee,6-3 3-6 6-4,W,10/21/24
,Landon Ardila,4-6 4-6,L,09/28/24
,Arthus De La Bassetiere,6-2 7-5,W,09/28/24
,Luka Petrovic,6-3 6-1,W,09/28/24
